 ab inito points for HO2 Data: 2007/3/17. modifie le 29oct2007: th = 0.0, 180.0   
   n1 n2  n3    r(OH)       th(OOH)      r(OO)      V(MRCI) 
   1  11   5    1.000000  100.000000    2.200000  -150.11603347
   1  11   6    1.000000  100.000000    2.250000  -150.12757645
   1  11   7    1.000000  100.000000    2.300000  -150.13628303
   1  11   8    1.000000  100.000000    2.400000  -150.14685053
   1  11   9    1.000000  100.000000    2.500000  -150.15049774
   1  11  10    1.000000  100.000000    2.550000  -150.15038451
   1  11  11    1.000000  100.000000    2.600000  -150.14925943
   1  11  12    1.000000  100.000000    2.700000  -150.14464551
   1  11  13    1.000000  100.000000    2.800000  -150.13778817
   1  11  14    1.000000  100.000000    3.000000  -150.12057259
   1  11  15    1.000000  100.000000    3.250000  -150.09748921
   1  11  16    1.000000  100.000000    3.500000  -150.07811858
   1  11  17    1.000000  100.000000    3.800000  -150.06178869
   1  11  18    1.000000  100.000000    4.200000  -150.05022466
   1  11  19    1.000000  100.000000    4.800000  -150.04392696
   1  11  20    1.000000  100.000000    5.500000  -150.04183710
   1  11  21    1.000000  100.000000    6.500000  -150.04102175
   1  11  22    1.000000  100.000000    7.300000  -150.04070423
   1  11  23    1.000000  100.000000    8.000000  -150.04056592
   1  11  24    1.000000  100.000000    8.800000  -150.04041368
   1  11  25    1.000000  100.000000    9.500000  -150.04038554
   1  11  26    1.000000  100.000000   11.000000  -150.04034720
   1  11  27    1.000000  100.000000   12.500000  -150.04033565
   1  11  28    1.000000  100.000000   14.000000  -150.04033012
   1  11  29    1.000000  100.000000   16.000000  -150.04032511
   1  11  30    1.000000  100.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  12   1    1.000000  110.000000    1.400000  -148.73163414
   1  12   2    1.000000  110.000000    1.650000  -149.60000045
   1  12   3    1.000000  110.000000    1.900000  -149.96663379
   1  12   4    1.000000  110.000000    2.100000  -150.08948259
   1  12   5    1.000000  110.000000    2.200000  -150.12052940
   1  12   6    1.000000  110.000000    2.250000  -150.13090875
   1  12   7    1.000000  110.000000    2.300000  -150.13854983
   1  12   8    1.000000  110.000000    2.400000  -150.14725690
   1  12   9    1.000000  110.000000    2.500000  -150.14936823
   1  12  10    1.000000  110.000000    2.550000  -150.14859640
   1  12  11    1.000000  110.000000    2.600000  -150.14687969
   1  12  12    1.000000  110.000000    2.700000  -150.14126712
   1  12  13    1.000000  110.000000    2.800000  -150.13363350
   1  12  14    1.000000  110.000000    3.000000  -150.11543964
   1  12  15    1.000000  110.000000    3.250000  -150.09197708
   1  12  16    1.000000  110.000000    3.500000  -150.07313302
   1  12  17    1.000000  110.000000    3.800000  -150.05813520
   1  12  18    1.000000  110.000000    4.200000  -150.04835616
   1  12  19    1.000000  110.000000    4.800000  -150.04340679
   1  12  20    1.000000  110.000000    5.500000  -150.04172152
   1  12  21    1.000000  110.000000    6.500000  -150.04098389
   1  12  22    1.000000  110.000000    7.300000  -150.04071463
   1  12  23    1.000000  110.000000    8.000000  -150.04049631
   1  12  24    1.000000  110.000000    8.800000  -150.04042637
   1  12  25    1.000000  110.000000    9.500000  -150.04039040
   1  12  26    1.000000  110.000000   11.000000  -150.04035493
   1  12  27    1.000000  110.000000   12.500000  -150.04033991
   1  12  28    1.000000  110.000000   14.000000  -150.04033298
   1  12  29    1.000000  110.000000   16.000000  -150.04032511
   1  12  30    1.000000  110.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  13   1    1.000000  120.000000    1.400000  -148.75551279
   1  13   2    1.000000  120.000000    1.650000  -149.61010289
   1  13   3    1.000000  120.000000    1.900000  -149.96772065
   1  13   4    1.000000  120.000000    2.100000  -150.08660618
   1  13   5    1.000000  120.000000    2.200000  -150.11598975
   1  13   6    1.000000  120.000000    2.250000  -150.12565311
   1  13   7    1.000000  120.000000    2.300000  -150.13264793
   1  13   8    1.000000  120.000000    2.400000  -150.14025265
   1  13   9    1.000000  120.000000    2.500000  -150.14148793
   1  13  10    1.000000  120.000000    2.550000  -150.14035420
   1  13  11    1.000000  120.000000    2.600000  -150.13832249
   1  13  12    1.000000  120.000000    2.700000  -150.13221055
   1  13  13    1.000000  120.000000    2.800000  -150.12423934
   1  13  14    1.000000  120.000000    3.000000  -150.10582045
   1  13  15    1.000000  120.000000    3.250000  -150.08283068
   1  13  16    1.000000  120.000000    3.500000  -150.06543567
   1  13  17    1.000000  120.000000    3.800000  -150.05289463
   1  13  18    1.000000  120.000000    4.200000  -150.04586482
   1  13  19    1.000000  120.000000    4.800000  -150.04274285
   1  13  20    1.000000  120.000000    5.500000  -150.04160538
   1  13  21    1.000000  120.000000    6.500000  -150.04096039
   1  13  22    1.000000  120.000000    7.300000  -150.04067208
   1  13  23    1.000000  120.000000    8.000000  -150.04054843
   1  13  24    1.000000  120.000000    8.800000  -150.04043837
   1  13  25    1.000000  120.000000    9.500000  -150.04040230
   1  13  26    1.000000  120.000000   11.000000  -150.04036284
   1  13  27    1.000000  120.000000   12.500000  -150.04034480
   1  13  28    1.000000  120.000000   14.000000  -150.04033603
   1  13  29    1.000000  120.000000   16.000000  -150.04032511
   1  13  30    1.000000  120.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  14   1    1.000000  130.000000    1.400000  -148.76226835
   1  14   2    1.000000  130.000000    1.650000  -149.60722882
   1  14   3    1.000000  130.000000    1.900000  -149.95957564
   1  14   4    1.000000  130.000000    2.100000  -150.07597944
   1  14   5    1.000000  130.000000    2.200000  -150.10449184
   1  14   6    1.000000  130.000000    2.250000  -150.11379202
   1  14   7    1.000000  130.000000    2.300000  -150.12046629
   1  14   8    1.000000  130.000000    2.400000  -150.12754387
   1  14   9    1.000000  130.000000    2.500000  -150.12838537
   1  14  10    1.000000  130.000000    2.550000  -150.12709972
   1  14  11    1.000000  130.000000    2.600000  -150.12494350
   1  14  12    1.000000  130.000000    2.700000  -150.11866341
   1  14  13    1.000000  130.000000    2.800000  -150.11063112
   1  14  14    1.000000  130.000000    3.000000  -150.09244362
   1  14  15    1.000000  130.000000    3.250000  -150.07050813
   1  14  16    1.000000  130.000000    3.500000  -150.05542687
   1  14  17    1.000000  130.000000    3.800000  -150.04650291
   1  14  18    1.000000  130.000000    4.200000  -150.04302720
   1  14  19    1.000000  130.000000    4.800000  -150.04201252
   1  14  20    1.000000  130.000000    5.500000  -150.04146939
   1  14  21    1.000000  130.000000    6.500000  -150.04093041
   1  14  22    1.000000  130.000000    7.300000  -150.04065606
   1  14  23    1.000000  130.000000    8.000000  -150.04054312
   1  14  24    1.000000  130.000000    8.800000  -150.04045584
   1  14  25    1.000000  130.000000    9.500000  -150.04041342
   1  14  26    1.000000  130.000000   11.000000  -150.04036887
   1  14  27    1.000000  130.000000   12.500000  -150.04034867
   1  14  28    1.000000  130.000000   14.000000  -150.04033872
   1  14  29    1.000000  130.000000   16.000000  -150.04032511
   1  14  30    1.000000  130.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  15   1    1.000000  140.000000    1.400000  -148.75609369
   1  15   2    1.000000  140.000000    1.650000  -149.59500876
   1  15   3    1.000000  140.000000    1.900000  -149.94480084
   1  15   4    1.000000  140.000000    2.100000  -150.06025917
   1  15   5    1.000000  140.000000    2.200000  -150.08848528
   1  15   6    1.000000  140.000000    2.250000  -150.09767412
   1  15   7    1.000000  140.000000    2.300000  -150.10425431
   1  15   8    1.000000  140.000000    2.400000  -150.11118632
   1  15   9    1.000000  140.000000    2.500000  -150.11192774
   1  15  10    1.000000  140.000000    2.550000  -150.11060662
   1  15  11    1.000000  140.000000    2.600000  -150.10842416
   1  15  12    1.000000  140.000000    2.700000  -150.10212197
   1  15  13    1.000000  140.000000    2.800000  -150.09411779
   1  15  14    1.000000  140.000000    3.000000  -150.07624451
   1  15  15    1.000000  140.000000    3.250000  -150.05637599
   1  15  16    1.000000  140.000000    3.500000  -150.04364123
   1  15  17    1.000000  140.000000    3.800000  -150.03956382
   1  15  18    1.000000  140.000000    4.200000  -150.04015735
   1  15  19    1.000000  140.000000    4.800000  -150.04129420
   1  15  20    1.000000  140.000000    5.500000  -150.04133695
   1  15  21    1.000000  140.000000    6.500000  -150.04092748
   1  15  22    1.000000  140.000000    7.300000  -150.04066964
   1  15  23    1.000000  140.000000    8.000000  -150.04054380
   1  15  24    1.000000  140.000000    8.800000  -150.04046194
   1  15  25    1.000000  140.000000    9.500000  -150.04042220
   1  15  26    1.000000  140.000000   11.000000  -150.04037398
   1  15  27    1.000000  140.000000   12.500000  -150.04035220
   1  15  28    1.000000  140.000000   14.000000  -150.04034081
   1  15  29    1.000000  140.000000   16.000000  -150.04032511
   1  15  30    1.000000  140.000000   20.000000  -150.04032509
   0   0   0    0.000000    0.000000    0.000000     0.00000000
   1  16   1    1.000000  150.000000    1.400000  -148.74191455
   1  16   2    1.000000  150.000000    1.650000  -149.57762811
   1  16   3    1.000000  150.000000    1.900000  -149.92696930
